symbol,detected,score,case,strength,horizon_days,horizon_tf,dormant,hidden,spring,churn,taker,fuel,leverage,zone_price,events,zones,zones_conf,vortex_scale,vortex_dir,vortex_str,collapsing,delta_slope,buy_share,growth_x,peak_age,drop_pct,failures,rejects,error
MONUSDT,0,0,none,,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,35,2,0,3,down,0.069,0,-0.01233,0.4921,2.38,124,52.8,,"flow_dormant=цикла не было: рост до пика x2.38 < x3.0, за жизнь x1.05 при падении 87.1% | flow_hidden=поток не растёт: наклон -0.01233 < 0.01 | flow_leverage=фандинг не отрицательный: 11.0% APR > -5.0% | flow_spring=фон шумный: rel_vol 2.87 > 0.95",
DOSUSDT,0,0,none,,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0,0,,,,0,,,,,,,,
GIGADEVUSDT,0,0,none,,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0,0,,,,0,,,,,,,,
PEOPLEUSDT,1,75,flow_fuel,сильный,2,дни,0.0,0.0,0.0,0.0,0.0,49.5,0.0,0.005435,79,9,2,10,none,0.0,0,-0.01263,0.494,1.45,226,61.4,,flow_dormant=отскока не было: 10.3% < 15.0% | flow_hidden=цена растёт: наклон 0.00856 > 0.002 | flow_leverage=фандинг не отрицательный: 11.0% APR > -5.0% | flow_spring=фон шумный: rel_vol 2.29 > 0.95,
WIFUSDT,1,59,flow_dormant,умеренный,25,недели,34.1,0.0,0.0,0.0,0.0,0.0,0.0,0.1326,46,4,2,10,up,0.104,0,-0.02642,0.487,1.93,224,73.7,,flow_hidden=поток не растёт: наклон -0.02642 < 0.01 | flow_leverage=фандинг не отрицательный: 11.0% APR > -5.0% | flow_spring=нет опорной зоны под ценой,
MORPHOUSDT,1,49,flow_churn,умеренный,25,недели,0.0,0.0,0.0,23.6,0.0,0.0,0.0,1.9607999999999999,97,11,11,10,down,0.184,0,-0.0051,0.4998,2.54,85,34.6,,"flow_dormant=цикла не было: рост до пика x2.54 < x3.0, за жизнь x3.57 при падении 62.3% | flow_hidden=поток не растёт: наклон -0.00510 < 0.01 | flow_leverage=цена идёт: +15.2% за 14 баров > 10.0% | flow_spring=фон шумный: rel_vol 2.12 > 0.95",
RIFUSDT,1,90,flow_fuel,экстремальный,7,неделя,0.0,0.0,0.0,0.0,0.0,64.5,0.0,0.06485166666666667,127,11,8,10,none,0.0,0,-0.00228,0.4993,5.05,64,70.1,,flow_dormant=база широка: 230.7% при падении 70.1% — доля 0.98 > 0.55 | flow_hidden=поток не растёт: наклон -0.00228 < 0.01 | flow_leverage=позицию не набирают: OI -0.264 < 0.15 | flow_spring=диапазон широк: 61.1% > 35%,
BOMEUSDT,0,0,none,,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,89,8,7,10,none,0.0,0,-0.01537,0.4926,2.82,3,19.3,,"flow_dormant=цикла не было: рост до пика x2.82 < x3.0, за жизнь x1.40 при падении 97.3% | flow_hidden=цена растёт: наклон 0.01330 > 0.002 | flow_leverage=цена идёт: +31.7% за 14 баров > 10.0% | flow_spring=не сжалась: squeeze 1.34 > 0.9",
TIAUSDT,1,64,flow_dormant,умеренный,25,недели,38.7,0.0,0.0,0.0,0.0,0.0,0.0,0.2926,66,7,4,10,none,0.0,0,-0.02914,0.4823,1.46,217,57.0,,flow_hidden=поток не растёт: наклон -0.02914 < 0.01 | flow_leverage=цена идёт: -10.0% за 14 баров > 10.0% | flow_spring=фон шумный: rel_vol 1.00 > 0.95,
REUSDT,0,0,none,,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,2,0,0,1,up,0.32,0,-0.01031,0.495,2.99,59,67.5,,"flow_dormant=цикла не было: рост до пика x2.99 < x3.0, за жизнь x2.68 при падении 67.5% | flow_hidden=поток не растёт: наклон -0.01031 < 0.01 | flow_leverage=нет живых зон, сеть не запрашивалась | flow_spring=нет живых зон",
ALICEUSDT,1,59,flow_churn,умеренный,25,недели,0.0,0.0,0.0,33.8,0.0,0.0,0.0,0.1316,89,15,13,10,up,0.148,0,-0.01815,0.4859,2.71,122,64.9,,"flow_dormant=цикла не было: рост до пика x2.71 < x3.0, за жизнь x4.39 при падении 96.7% | flow_hidden=поток не растёт: наклон -0.01815 < 0.01 | flow_leverage=цена идёт: +14.6% за 14 баров > 10.0% | flow_spring=фон шумный: rel_vol 5.00 > 0.95",
MMTUSDT,0,0,none,,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,68,12,6,3,up,0.07,0,-0.01536,0.4935,4.71,18,70.4,,flow_dormant=база широка: 237.8% при падении 70.4% — доля 1.00 > 0.55 | flow_hidden=поток не растёт: наклон -0.01536 < 0.01 | flow_leverage=позицию не набирают: OI -0.059 < 0.15 | flow_spring=диапазон широк: 193.6% > 35%,
HOLOUSDT,0,0,none,,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,78,7,6,10,none,0.0,0,-0.01292,0.4931,2.13,6,48.4,,"flow_dormant=цикла не было: рост до пика x2.13 < x3.0, за жизнь x1.21 при падении 93.9% | flow_hidden=поток не растёт: наклон -0.01292 < 0.01 | flow_leverage=цена идёт: -16.7% за 14 баров > 10.0% | flow_spring=фон шумный: rel_vol 2.99 > 0.95",
BSBUSDT,1,61,flow_dormant,умеренный,7,неделя,36.2,0.0,0.0,0.0,0.0,0.0,0.0,0.1116,23,1,0,3,up,0.543,0,-0.04238,0.4812,22.24,90,95.9,,flow_hidden=поток не растёт: наклон -0.04238 < 0.01 | flow_leverage=фандинг не отрицательный: 11.0% APR > -5.0% | flow_spring=фон шумный: rel_vol 1.10 > 0.95,
USUSDT,0,0,none,,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0,0,,,,0,,,,,,,,
AMATUSDT,0,0,none,,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,3,0,0,1,none,0.0,0,-0.05703,0.4684,1.61,49,42.0,,"flow_dormant=цикла не было: рост до пика x1.61 < x3.0, за жизнь x1.61 при падении 42.0% | flow_hidden=поток не растёт: наклон -0.05703 < 0.01 | flow_leverage=нет живых зон, сеть не запрашивалась | flow_spring=нет живых зон",
MUBARAKUSDT,0,0,none,,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,93,11,7,10,none,0.0,0,-0.02882,0.4878,3.28,8,49.8,,flow_dormant=отскока не было: 11.0% < 15.0% | flow_hidden=цена растёт: наклон 0.00937 > 0.002 | flow_leverage=цена идёт: +24.4% за 14 баров > 10.0% | flow_spring=фон шумный: rel_vol 1.51 > 0.95,
SEIUSDT,1,56,flow_dormant,умеренный,25,недели,31.2,0.0,0.0,0.0,0.0,0.0,0.0,0.03819,58,4,3,10,up,0.106,0,-0.04094,0.479,1.28,224,71.9,,flow_hidden=поток не растёт: наклон -0.04094 < 0.01 | flow_leverage=позицию не набирают: OI -0.047 < 0.15 | flow_spring=фон шумный: rel_vol 1.34 > 0.95,
