Symbol,Category,Score,Pattern,Phase,TF,Size %,Upside,Price,Drop %,Base d,DV,MCap Rank,MCap USD,TVL USD,Twitter,Analysis,Fundamental,Reasons,Warnings
TRUTHUSDT,SCOUT,57,MIXED,PHASE_3_BULL_CROSS,1w,0.40,x3 – x8,0.013021,75.0,70,1.58M,,,,,"Сильное падение 75% от ATH, молодая база 70d, сильная OBV-дивергенция +62%, Vortex перекрёст (ранний вход), повышенный RVOL 201%. Разведочная позиция — рано для полного входа.","TRUTH — данных в CoinGecko/DefiLlama нет. Вероятно свежий листинг или узкоспециальный токен. Требуется ручная проверка команды, whitepaper, разлочек и структуры держателей перед входом.",Падение 75.0% от ATH | База 70d | OBV +62% | Vortex Фаза 3 | MaxRVOL 201%,
FOLKSUSDT,SCOUT,57,MIXED,PHASE_4_STRONG_BULL,1w,0.40,x3 – x8,1.857000,96.0,34,1.54M,,,,,"Глубокое падение 96% от ATH, молодая база 34d, позитивный OBV +13%, Vortex Фаза 4 (сильный бычий импульс), повышенный RVOL 176%. Разведочная позиция — рано для полного входа.","FOLKS — данных в CoinGecko/DefiLlama нет. Вероятно свежий листинг или узкоспециальный токен. Требуется ручная проверка команды, whitepaper, разлочек и структуры держателей перед входом.",Падение 96.0% от ATH | OBV +13% | Vortex Фаза 4 | MaxRVOL 176%,
SLPUSDT,SCOUT,56,TAIKO,PHASE_2_TRANSITION,1w,0.40,x3 – x8,0.000563,78.1,26,558.6K,,,,,"Сильное падение 78% от ATH, молодая база 26d, сильная OBV-дивергенция +115%, Vortex в переходной зоне, экстремальный RVOL 1972%. Разведочная позиция — рано для полного входа.","SLP — данных в CoinGecko/DefiLlama нет. Вероятно свежий листинг или узкоспециальный токен. Требуется ручная проверка команды, whitepaper, разлочек и структуры держателей перед входом.",Падение 78.1% от ATH | OBV +115% | Vortex Фаза 2 | MaxRVOL 1972% | Низкий OI vs объём,
HOLOUSDT,SCOUT,56,TAIKO,PHASE_2_TRANSITION,1w,0.40,x3 – x8,0.067650,92.1,246,2.38M,,,,,"Глубокое падение 92% от ATH, выдержанная база 246d, позитивный OBV +24%, Vortex в переходной зоне. Разведочная позиция — рано для полного входа.","HOLO — данных в CoinGecko/DefiLlama нет. Вероятно свежий листинг или узкоспециальный токен. Требуется ручная проверка команды, whitepaper, разлочек и структуры держателей перед входом.",Падение 92.1% от ATH | База 246d | OBV +24% | Vortex Фаза 2 | Низкий OI vs объём,
NMRUSDT,SCOUT,55,MIXED,PHASE_3_BULL_CROSS,1w,0.40,x3 – x8,9.109000,83.3,248,1.05M,,,,,"Сильное падение 83% от ATH, выдержанная база 248d, Vortex перекрёст (ранний вход). Разведочная позиция — рано для полного входа.","NMR — данных в CoinGecko/DefiLlama нет. Вероятно свежий листинг или узкоспециальный токен. Требуется ручная проверка команды, whitepaper, разлочек и структуры держателей перед входом.",Падение 83.3% от ATH | База 248d | Vortex Фаза 3 | Низкий OI vs объём,
RPLUSDT,SCOUT,55,MIXED,PHASE_2_TRANSITION,1w,0.40,x3 – x8,1.706000,91.4,23,1.00M,,,,,"Глубокое падение 91% от ATH, молодая база 23d, позитивный OBV +25%, Vortex в переходной зоне, экстремальный RVOL 7569%. Разведочная позиция — рано для полного входа.","RPL — данных в CoinGecko/DefiLlama нет. Вероятно свежий листинг или узкоспециальный токен. Требуется ручная проверка команды, whitepaper, разлочек и структуры держателей перед входом.",Падение 91.4% от ATH | OBV +25% | Vortex Фаза 2 | MaxRVOL 7569% | Низкий OI vs объём,
XPINUSDT,SCOUT,55,MIXED,PHASE_2_TRANSITION,1w,0.40,x3 – x8,0.001475,85.7,169,2.35M,,,,,"Сильное падение 86% от ATH, база 169d, позитивный OBV +26%, Vortex в переходной зоне, экстремальный RVOL 4850%. Разведочная позиция — рано для полного входа.","XPIN — данных в CoinGecko/DefiLlama нет. Вероятно свежий листинг или узкоспециальный токен. Требуется ручная проверка команды, whitepaper, разлочек и структуры держателей перед входом.",Падение 85.7% от ATH | База 169d | OBV +26% | Vortex Фаза 2 | MaxRVOL 4850%,
EDENUSDT,SCOUT,55,TAIKO,PHASE_3_BULL_CROSS,1w,0.40,x3 – x8,0.042130,95.9,61,1.73M,,,,,"Глубокое падение 96% от ATH, молодая база 61d, сильная OBV-дивергенция +336%, Vortex перекрёст (ранний вход). Разведочная позиция — рано для полного входа.","EDEN — данных в CoinGecko/DefiLlama нет. Вероятно свежий листинг или узкоспециальный токен. Требуется ручная проверка команды, whitepaper, разлочек и структуры держателей перед входом.",Падение 95.9% от ATH | База 61d | OBV +336% | Vortex Фаза 3 | Низкий OI vs объём,
MANTRAUSDT,SCOUT,55,TAIKO,PHASE_2_TRANSITION,1w,0.40,x3 – x8,0.006229,76.7,128,3.14M,,,,,"Сильное падение 77% от ATH, база 128d, Vortex в переходной зоне, экстремальный RVOL 1810%. Разведочная позиция — рано для полного входа.","MANTRA — данных в CoinGecko/DefiLlama нет. Вероятно свежий листинг или узкоспециальный токен. Требуется ручная проверка команды, whitepaper, разлочек и структуры держателей перед входом.",Падение 76.7% от ATH | База 128d | Vortex Фаза 2 | MaxRVOL 1810% | Низкий OI vs объём,
SENTUSDT,WATCH,54,TAIKO,PHASE_2_TRANSITION,1w,0.00,—,0.012650,86.7,169,2.94M,,,,,"Сильное падение 87% от ATH, база 169d, Vortex в переходной зоне, экстремальный RVOL 1020%. Пока не готова — в watchlist.","SENT — данных в CoinGecko/DefiLlama нет. Вероятно свежий листинг или узкоспециальный токен. Требуется ручная проверка команды, whitepaper, разлочек и структуры держателей перед входом.",Падение 86.7% от ATH | База 169d | Vortex Фаза 2 | MaxRVOL 1020% | Низкий OI vs объём,
INJUSDT,WATCH,53,MIXED,PHASE_4_STRONG_BULL,1w,0.00,—,4.919000,90.7,80,28.60M,,,,,"Глубокое падение 91% от ATH, молодая база 80d, Vortex Фаза 4 (сильный бычий импульс). Пока не готова — в watchlist.","INJ — данных в CoinGecko/DefiLlama нет. Вероятно свежий листинг или узкоспециальный токен. Требуется ручная проверка команды, whitepaper, разлочек и структуры держателей перед входом.",Падение 90.7% от ATH | База 80d | Vortex Фаза 4 | Низкий OI vs объём,
GPSUSDT,WATCH,53,TAIKO,PHASE_2_TRANSITION,1w,0.00,—,0.009184,95.5,153,1.34M,,,,,"Глубокое падение 96% от ATH, база 153d, позитивный OBV +21%, Vortex в переходной зоне, повышенный RVOL 217%. Пока не готова — в watchlist.","GPS — данных в CoinGecko/DefiLlama нет. Вероятно свежий листинг или узкоспециальный токен. Требуется ручная проверка команды, whitepaper, разлочек и структуры держателей перед входом.",Падение 95.5% от ATH | База 153d | OBV +21% | Vortex Фаза 2 | MaxRVOL 217%,
ALLUSDT,WATCH,53,TAIKO,PHASE_2_TRANSITION,1w,0.00,—,0.482700,61.7,258,648.6K,,,,,"Падение 62% от ATH, выдержанная база 258d, Vortex в переходной зоне, экстремальный RVOL 304%. Пока не готова — в watchlist.","ALL — данных в CoinGecko/DefiLlama нет. Вероятно свежий листинг или узкоспециальный токен. Требуется ручная проверка команды, whitepaper, разлочек и структуры держателей перед входом.",Падение 61.7% от ATH | База 258d | Vortex Фаза 2 | MaxRVOL 304% | Низкий OI vs объём,
COLLECTUSDT,WATCH,53,TAIKO,PHASE_4_STRONG_BULL,1w,0.00,—,0.046280,60.4,86,1.65M,,,,,"Падение 60% от ATH, молодая база 86d, сильная OBV-дивергенция +47%, Vortex Фаза 4 (сильный бычий импульс). Пока не готова — в watchlist.","COLLECT — данных в CoinGecko/DefiLlama нет. Вероятно свежий листинг или узкоспециальный токен. Требуется ручная проверка команды, whitepaper, разлочек и структуры держателей перед входом.",Падение 60.4% от ATH | База 86d | OBV +47% | Vortex Фаза 4,
DODOXUSDT,WATCH,52,MIXED,PHASE_2_TRANSITION,1w,0.00,—,0.018146,94.6,38,18.39M,,,,,"Глубокое падение 95% от ATH, молодая база 38d, Vortex в переходной зоне, экстремальный RVOL 8422%, отрицательный funding (-0.13%). Пока не готова — в watchlist.","DODOX — данных в CoinGecko/DefiLlama нет. Вероятно свежий листинг или узкоспециальный токен. Требуется ручная проверка команды, whitepaper, разлочек и структуры держателей перед входом.",Падение 94.6% от ATH | Vortex Фаза 2 | MaxRVOL 8422% | Funding -0.126% | Низкий OI vs объём,
AKTUSDT,WATCH,52,TAIKO,PHASE_2_TRANSITION,1w,0.00,—,0.479200,90.4,111,1.21M,,,,,"Глубокое падение 90% от ATH, база 111d, сильная OBV-дивергенция +46%, Vortex в переходной зоне. Пока не готова — в watchlist.","AKT — данных в CoinGecko/DefiLlama нет. Вероятно свежий листинг или узкоспециальный токен. Требуется ручная проверка команды, whitepaper, разлочек и структуры держателей перед входом.",Падение 90.4% от ATH | База 111d | OBV +46% | Vortex Фаза 2 | Низкий OI vs объём,
ORCAUSDT,WATCH,52,TAIKO,PHASE_3_BULL_CROSS,1w,0.00,—,1.181000,85.5,85,1.44M,,,,,"Сильное падение 86% от ATH, молодая база 85d, сильная OBV-дивергенция +72%, Vortex перекрёст (ранний вход). Пока не готова — в watchlist.","ORCA — данных в CoinGecko/DefiLlama нет. Вероятно свежий листинг или узкоспециальный токен. Требуется ручная проверка команды, whitepaper, разлочек и структуры держателей перед входом.",Падение 85.5% от ATH | База 85d | OBV +72% | Vortex Фаза 3 | Низкий OI vs объём,
