symbol,detected,score,case,strength,horizon_days,horizon_tf,hidden,spring,churn,taker,fuel,leverage,zone_price,events,zones,zones_conf,vortex_scale,vortex_spread,collapsing,growth_x,failures,error
APTUSDT,0,0,none,,0,,0.0,0.0,0.0,0.0,0.0,0.0,,104,0,0,1,0.3191,0,1.42,,
TIAUSDT,0,0,none,,0,,0.0,0.0,0.0,0.0,0.0,0.0,,102,0,0,10,0.0037,0,1.22,,
ESPUSDT,0,0,none,,0,,0.0,0.0,0.0,0.0,0.0,0.0,,37,4,4,1,0.0858,0,3.77,,
ALLOUSDT,0,0,none,,0,,0.0,0.0,0.0,0.0,0.0,0.0,,102,8,7,3,0.1295,0,12.39,,
FETUSDT,0,0,none,,0,,0.0,0.0,0.0,0.0,0.0,0.0,,118,0,0,0,0.0,0,1.64,,
ENSOUSDT,0,44,none,,0,,0.0,0.0,0.0,0.0,44.5,0.0,,86,3,3,0,0.0,0,5.95,,
CFXUSDT,0,0,none,,0,,0.0,0.0,0.0,0.0,0.0,0.0,,146,1,1,3,0.162,0,1.31,,
UBUSDT,0,0,none,,0,,0.0,0.0,0.0,0.0,0.0,0.0,,131,9,9,0,0.0,0,13.73,,
ESPORTSUSDT,0,0,none,,0,,0.0,0.0,0.0,0.0,0.0,0.0,,180,1,1,0,0.0,0,3.24,,
OPUSDT,0,0,none,,0,,0.0,0.0,0.0,0.0,0.0,0.0,,84,0,0,0,0.0,0,1.51,,
LDOUSDT,1,75,flow_churn,сильный,2,дни,0.0,0.0,54.4,0.0,0.0,0.0,0.3084107003611807,110,3,3,1,0.1733,0,1.39,,
BROCCOLI714USDT,0,0,none,,0,,0.0,0.0,0.0,0.0,0.0,0.0,,144,1,1,2,0.1545,0,8.41,,
ERAUSDT,0,0,none,,0,,0.0,0.0,0.0,0.0,0.0,0.0,,113,3,3,0,0.0,0,1.6,,
MIRAUSDT,0,0,none,,0,,0.0,0.0,0.0,0.0,0.0,0.0,,104,1,1,3,0.1464,0,1.71,,
WLFIUSDT,0,44,none,,0,,0.0,0.0,0.0,44.2,0.0,0.0,,42,1,0,3,0.1655,0,1.56,,
DIAUSDT,0,0,none,,0,,0.0,0.0,0.0,0.0,0.0,0.0,,156,4,3,3,0.0564,0,1.13,,
TUTUSDT,0,0,none,,0,,0.0,0.0,0.0,0.0,0.0,0.0,,149,8,7,0,0.0,0,1.85,,
