symbol,detected,score,case,strength,horizon_days,horizon_tf,horizon_readable,spring,churn,fuel,zone_price,plateau_bars,scale,error
COPPERUSDT,0,0,none,,0,,0,0.0,0.0,0.0,,,,
4USDT,0,0,none,,0,,0,0.0,0.0,0.0,,,,
BMNRUSDT,0,0,none,,0,,0,0.0,0.0,0.0,,,,
IBMUSDT,0,0,none,,0,,0,0.0,0.0,0.0,,,,
PENDLEUSDT,0,0,none,,0,,0,0.0,0.0,0.0,,,,
PEOPLEUSDT,0,0,none,,0,,0,0.0,0.0,0.0,,,,
GRAMUSDT,0,0,none,,0,,0,0.0,0.0,0.0,,,,
ACEUSDT,1,57,flow_fuel,умеренный,25,недели,1,0.0,0.0,21.4,0.07107454532634068,,,
ZBTUSDT,1,76,flow_fuel,экстремальный,12,недели,1,0.0,0.0,56.3,0.07413,,,
MUSDT,1,76,flow_fuel,экстремальный,25,недели,1,0.0,0.0,56.3,0.589495622843289,,,
MUBARAKUSDT,0,0,none,,0,,0,0.0,0.0,0.0,,,,
SAHARAUSDT,0,0,none,,0,,0,0.0,0.0,0.0,,,,
PROMUSDT,1,63,flow_fuel,сильный,25,недели,1,0.0,0.0,32.8,2.0251090499914066,,,
ETHFIUSDT,0,0,none,,0,,0,0.0,0.0,0.0,,,,
HYPERUSDT,0,0,none,,0,,0,0.0,0.0,0.0,,,,
AMATUSDT,0,0,none,,0,,0,0.0,0.0,0.0,,,,
OUSDT,0,0,none,,0,,0,0.0,0.0,0.0,,,,
APEUSDT,0,0,none,,0,,0,0.0,0.0,0.0,,,,
TWTUSDT,0,0,none,,0,,0,0.0,0.0,0.0,,,,
CHZUSDT,0,0,none,,0,,0,0.0,0.0,0.0,,,,
XPTUSDT,1,72,flow_fuel,сильный,12,недели,1,0.0,0.0,49.0,1584.9567164693285,,,
STRKUSDT,0,0,none,,0,,0,0.0,0.0,0.0,,,,
HOLOUSDT,0,0,none,,0,,0,0.0,0.0,0.0,,,,
POLUSDT,0,0,none,,0,,0,0.0,0.0,0.0,,,,
VELVETUSDT,0,0,none,,0,,0,0.0,0.0,0.0,,,,
STORJUSDT,0,0,none,,0,,0,0.0,0.0,0.0,,,,
STXUSDT,0,0,none,,0,,0,0.0,0.0,0.0,,,,
0GUSDT,0,0,none,,0,,0,0.0,0.0,0.0,,,,
IDOLUSDT,0,0,none,,0,,0,0.0,0.0,0.0,,,,
EDGEUSDT,0,0,none,,0,,0,0.0,0.0,0.0,,,,
TSTUSDT,1,76,flow_fuel,экстремальный,25,недели,1,0.0,0.0,56.3,0.01052283778557844,,,
NILUSDT,0,0,none,,0,,0,0.0,0.0,0.0,,,,
ZILUSDT,0,0,none,,0,,0,0.0,0.0,0.0,,,,
KITEUSDT,0,0,none,,0,,0,0.0,0.0,0.0,,,,
MOVEUSDT,0,0,none,,0,,0,0.0,0.0,0.0,,,,
VETUSDT,0,0,none,,0,,0,0.0,0.0,0.0,,,,
TUSDT,0,0,none,,0,,0,0.0,0.0,0.0,,,,
HEMIUSDT,0,0,none,,0,,0,0.0,0.0,0.0,,,,
ASMLUSDT,0,0,none,,0,,0,0.0,0.0,0.0,,,,
FLNCUSDT,0,0,none,,0,,0,0.0,0.0,0.0,,,,
LRCXUSDT,0,0,none,,0,,0,0.0,0.0,0.0,,,,
OPNUSDT,0,0,none,,0,,0,0.0,0.0,0.0,,,,
GALAUSDT,0,0,none,,0,,0,0.0,0.0,0.0,,,,
BILLUSDT,0,0,none,,0,,0,0.0,0.0,0.0,,,,
TAGUSDT,0,0,none,,0,,0,0.0,0.0,0.0,,,,
