symbol,detected,score,case,strength,horizon_days,horizon_tf,hidden,spring,churn,taker,fuel,leverage,zone_price,events,zones,vortex_scale,vortex_spread,collapsing,growth_x,failures,error
PENDLEUSDT,1,78,flow_fuel,сильный,25,недели,0.0,0.0,0.0,0.0,60.8,0.0,1.2330671355577154,96,1,5,0.2559,1,0.0,,
GRAMUSDT,0,0,none,,0,,0.0,0.0,0.0,0.0,0.0,0.0,,,0,,,0,,,
EIGENUSDT,0,0,none,,0,,0.0,0.0,0.0,0.0,0.0,0.0,,115,0,5,0.0507,1,0.0,,
XNYUSDT,1,71,flow_fuel,сильный,25,недели,0.0,0.0,0.0,0.0,47.2,0.0,0.005851801645032132,93,3,5,0.0114,1,5.21,,
CHZUSDT,0,0,none,,0,,0.0,0.0,0.0,0.0,0.0,0.0,,142,0,0,0.0,1,2.29,,
STXXUSDT,0,0,none,,0,,0.0,0.0,0.0,0.0,0.0,0.0,,,0,,,0,,,
IDOLUSDT,1,79,flow_fuel,сильный,25,недели,0.0,0.0,0.0,0.0,62.3,0.0,0.01540210525742123,152,2,1,0.0458,1,1.73,,
GWEIUSDT,0,0,none,,0,,0.0,0.0,0.0,0.0,0.0,0.0,,54,0,0,0.0,1,10.96,,
COPPERUSDT,1,81,flow_fuel,сильный,12,недели,0.0,0.0,0.0,0.0,64.7,0.0,6.233642283010787,32,3,1,0.304,1,0.0,,
ACEUSDT,0,0,none,,0,,0.0,0.0,0.0,0.0,0.0,0.0,,187,1,3,0.1187,1,1.67,,
ICNTUSDT,0,0,none,,0,,0.0,0.0,0.0,0.0,0.0,0.0,,114,0,0,0.0,1,2.67,,
SENTUSDT,0,0,none,,0,,0.0,0.0,0.0,0.0,0.0,0.0,,86,0,3,0.2451,0,1.57,,
TUSDT,0,0,none,,0,,0.0,0.0,0.0,0.0,0.0,0.0,,162,1,3,0.0754,0,1.06,,
ALGOUSDT,0,0,none,,0,,0.0,0.0,0.0,0.0,0.0,0.0,,87,0,2,0.321,1,1.39,,
HK1810USDT,0,0,none,,0,,0.0,0.0,0.0,0.0,0.0,0.0,,,0,,,0,,,
EDGEUSDT,0,0,none,,0,,0.0,0.0,0.0,0.0,0.0,0.0,,19,0,0,0.0,0,4.55,,
XPTUSDT,0,0,none,,0,,0.0,0.0,0.0,0.0,0.0,0.0,,13,0,3,0.1593,0,0.0,,
SAHARAUSDT,0,0,none,,0,,0.0,0.0,0.0,0.0,0.0,0.0,,126,0,0,0.0,1,3.67,,
STARUSDT,0,0,none,,0,,0.0,0.0,0.0,0.0,0.0,0.0,,15,0,0,0.0,0,0.0,,
KSTRUSDT,0,0,none,,0,,0.0,0.0,0.0,0.0,0.0,0.0,,,0,,,0,,,
ENSOUSDT,0,36,none,,0,,0.0,0.0,0.0,0.0,35.6,0.0,,85,2,0,0.0,1,5.95,,
NILUSDT,0,0,none,,0,,0.0,0.0,0.0,0.0,0.0,0.0,,172,0,2,0.2873,1,3.6,,
