symbol,detected,score,case,strength,horizon_days,horizon_tf,hidden,spring,churn,taker,fuel,leverage,zone_price,events,zones,zones_conf,vortex_scale,vortex_dir,vortex_str,collapsing,delta_slope,buy_share,growth_x,peak_age,drop_pct,failures,rejects,error
HUSDT,1,79,flow_fuel,сильный,25,недели,0.0,0.0,0.0,0.0,54.1,0.0,0.11206333333333333,106,8,5,10,none,0.0,0,-0.02402,0.4843,11.2,74,94.7,,flow_dormant=база широка: 649.2% при падении 94.7% — доля 6.86 > 0.55 | flow_hidden=поток не растёт: наклон -0.02402 < 0.01 | flow_leverage=цена идёт: +73.6% за 14 баров > 10.0% | flow_spring=фон шумный: rel_vol 7.25 > 0.95,
MMTUSDT,1,46,flow_churn,умеренный,2,дни,0.0,0.0,20.9,0.0,0.0,0.0,0.17653333333333335,66,13,7,3,down,0.147,0,-0.01239,0.4943,4.71,14,70.4,,flow_dormant=база не была тихой: оборот 2.94 к падению > 0.95 | flow_hidden=цена растёт: наклон 0.00319 > 0.002 | flow_leverage=позицию не набирают: OI -0.018 < 0.15 | flow_spring=фон шумный: rel_vol 2.04 > 0.95,
TRXUSDT,0,0,none,,0,,0.0,0.0,0.0,0.0,0.0,0.0,,57,6,4,10,none,0.0,0,0.01172,0.5064,1.42,80,18.2,,flow_dormant=цикла не было: рост до пика x1.42 < x3.0 | flow_hidden=набор комкОм: однородность 0.05 < 0.35 | flow_leverage=фандинг не отрицательный: -2.2% APR > -5.0% | flow_spring=событий за 24 баров 1 < 2,
ALLOUSDT,1,73,flow_fuel,сильный,7,неделя,0.0,0.0,0.0,0.0,47.8,0.0,0.09043666666666667,64,4,3,3,down,0.091,0,-0.00984,0.4955,12.39,67,60.0,,flow_dormant=база не была тихой: оборот 9.46 к падению > 0.95 | flow_hidden=поток не растёт: наклон -0.00984 < 0.01 | flow_leverage=фандинг не отрицательный: 4.2% APR > -5.0% | flow_spring=фон шумный: rel_vol 1.07 > 0.95,
1000SHIBUSDT,0,0,none,,0,,0.0,0.0,0.0,0.0,0.0,0.0,,50,5,2,10,up,0.168,0,-0.02422,0.49,1.48,221,59.9,,flow_dormant=цикла не было: рост до пика x1.48 < x3.0 | flow_hidden=поток не растёт: наклон -0.02422 < 0.01 | flow_leverage=фандинг не отрицательный: 4.6% APR > -5.0% | flow_spring=фон шумный: rel_vol 1.23 > 0.95,
BLESSUSDT,1,85,flow_fuel,экстремальный,2,дни,0.0,0.0,0.0,31.0,60.5,0.0,0.007410666666666667,84,6,2,3,none,0.0,0,0.01355,0.5035,9.27,122,89.6,,flow_dormant=база не была тихой: оборот 2.27 к падению > 0.95 | flow_hidden=цена растёт: наклон 0.01203 > 0.002 | flow_leverage=фандинг не отрицательный: 13.7% APR > -5.0% | flow_spring=фон шумный: rel_vol 3.06 > 0.95,
DOSUSDT,0,0,none,,0,,0.0,0.0,0.0,0.0,0.0,0.0,,,0,0,,,,0,,,,,,,,
ATOMUSDT,1,65,flow_fuel,умеренный,25,недели,0.0,0.0,0.0,0.0,39.6,0.0,1.3296666666666666,57,7,5,10,none,0.0,0,-0.0223,0.4888,1.48,212,55.2,,flow_dormant=цикла не было: рост до пика x1.48 < x3.0 | flow_hidden=поток не растёт: наклон -0.02230 < 0.01 | flow_leverage=цена идёт: +24.1% за 14 баров > 10.0% | flow_spring=фон шумный: rel_vol 2.72 > 0.95,
SCRTUSDT,0,0,none,,0,,0.0,0.0,0.0,0.0,0.0,0.0,,126,15,13,10,up,0.182,0,-0.02109,0.4811,2.24,203,87.1,,flow_dormant=цикла не было: рост до пика x2.24 < x3.0 | flow_hidden=поток не растёт: наклон -0.02109 < 0.01 | flow_leverage=фандинг не отрицательный: 11.0% APR > -5.0% | flow_spring=фон шумный: rel_vol 10.00 > 0.95,
INJUSDT,0,0,none,,0,,0.0,0.0,0.0,0.0,0.0,0.0,,66,7,5,10,up,0.346,0,-0.03733,0.4829,2.79,74,45.3,,flow_dormant=цикла не было: рост до пика x2.79 < x3.0 | flow_hidden=поток не растёт: наклон -0.03733 < 0.01 | flow_leverage=цена идёт: -13.1% за 14 баров > 10.0% | flow_spring=фон шумный: rel_vol 1.27 > 0.95,
COHRUSDT,0,0,none,,0,,0.0,0.0,0.0,0.0,0.0,0.0,,7,1,0,1,up,0.156,0,-0.05533,0.4632,1.36,72,55.7,,flow_dormant=цикла не было: рост до пика x1.36 < x3.0 | flow_hidden=поток не растёт: наклон -0.05533 < 0.01 | flow_leverage=цена идёт: +24.4% за 14 баров > 10.0% | flow_spring=фон шумный: rel_vol 8.29 > 0.95,
FILUSDT,0,0,none,,0,,0.0,0.0,0.0,0.0,0.0,0.0,,65,12,9,10,up,0.266,0,-0.04514,0.4755,1.46,221,61.3,,flow_dormant=цикла не было: рост до пика x1.46 < x3.0 | flow_hidden=поток не растёт: наклон -0.04514 < 0.01 | flow_leverage=фандинг не отрицательный: 7.6% APR > -5.0% | flow_spring=нет опорной зоны под ценой,
DOTUSDT,0,0,none,,0,,0.0,0.0,0.0,0.0,0.0,0.0,,59,5,1,10,none,0.0,0,-0.03135,0.483,1.42,213,68.3,,flow_dormant=цикла не было: рост до пика x1.42 < x3.0 | flow_hidden=поток не растёт: наклон -0.03135 < 0.01 | flow_leverage=фандинг не отрицательный: 3.8% APR > -5.0% | flow_spring=нет опорной зоны под ценой,
TRUMPUSDT,0,0,none,,0,,0.0,0.0,0.0,0.0,0.0,0.0,,74,14,7,10,up,0.152,0,-0.02823,0.4846,1.24,212,76.4,,flow_dormant=цикла не было: рост до пика x1.24 < x3.0 | flow_hidden=поток не растёт: наклон -0.02823 < 0.01 | flow_leverage=фандинг не отрицательный: 6.9% APR > -5.0% | flow_spring=нет опорной зоны под ценой,
AMATUSDT,0,0,none,,0,,0.0,0.0,0.0,0.0,0.0,0.0,,2,0,0,1,up,0.093,0,-0.03594,0.4703,1.61,45,42.0,,"flow_dormant=цикла не было: рост до пика x1.61 < x3.0 | flow_hidden=поток не растёт: наклон -0.03594 < 0.01 | flow_leverage=нет живых зон, сеть не запрашивалась | flow_spring=нет живых зон",
STORJUSDT,0,0,none,,0,,0.0,0.0,0.0,0.0,0.0,0.0,,100,17,14,10,none,0.0,0,-0.03364,0.4822,1.54,229,76.8,,flow_dormant=цикла не было: рост до пика x1.54 < x3.0 | flow_hidden=поток не растёт: наклон -0.03364 < 0.01 | flow_leverage=позицию не набирают: OI 0.033 < 0.15 | flow_spring=фон шумный: rel_vol 10.00 > 0.95,
1000BONKUSDT,0,0,none,,0,,0.0,0.0,0.0,0.0,0.0,0.0,,70,9,6,10,down,0.12,0,-0.03399,0.4803,1.81,220,83.5,,flow_dormant=цикла не было: рост до пика x1.81 < x3.0 | flow_hidden=поток не растёт: наклон -0.03399 < 0.01 | flow_leverage=цена идёт: -14.8% за 14 баров > 10.0% | flow_spring=фон шумный: rel_vol 1.04 > 0.95,
ROBOUSDT,0,0,none,,0,,0.0,0.0,0.0,0.0,0.0,0.0,,16,2,0,3,none,0.0,0,-0.02952,0.4847,1.89,165,83.4,,flow_dormant=цикла не было: рост до пика x1.89 < x3.0 | flow_hidden=поток не растёт: наклон -0.02952 < 0.01 | flow_leverage=цена идёт: +32.1% за 14 баров > 10.0% | flow_spring=фон шумный: rel_vol 5.93 > 0.95,
XLMUSDT,0,0,none,,0,,0.0,0.0,0.0,0.0,0.0,0.0,,78,7,7,10,up,0.204,0,-0.04011,0.4792,2.19,76,47.1,,flow_dormant=цикла не было: рост до пика x2.19 < x3.0 | flow_hidden=поток не растёт: наклон -0.04011 < 0.01 | flow_leverage=фандинг не отрицательный: 1.2% APR > -5.0% | flow_spring=событий за 24 баров 0 < 2,
HBARUSDT,0,0,none,,0,,0.0,0.0,0.0,0.0,0.0,0.0,,60,7,6,10,none,0.0,0,-0.01401,0.4901,1.31,220,52.0,,flow_dormant=цикла не было: рост до пика x1.31 < x3.0 | flow_hidden=поток не растёт: наклон -0.01401 < 0.01 | flow_leverage=фандинг не отрицательный: 2.7% APR > -5.0% | flow_spring=фон шумный: rel_vol 1.25 > 0.95,
ONEUSDT,0,0,none,,0,,0.0,0.0,0.0,0.0,0.0,0.0,,64,13,6,10,none,0.0,0,-0.01962,0.4845,1.48,221,87.9,,flow_dormant=цикла не было: рост до пика x1.48 < x3.0 | flow_hidden=поток не растёт: наклон -0.01962 < 0.01 | flow_leverage=цена идёт: -46.2% за 14 баров > 10.0% | flow_spring=фон шумный: rel_vol 10.00 > 0.95,
